college,name
KL,Microcomputer Applications
KL,Personal Financial Planning
KT,Introduction to Advertising
KT,Advanced Special Topics in Advertising
LD,Intro to US Armed Forces
KL,Life With Animals and Biotech
KR,Understanding Visual Culture
KR,Introduction to Art
KR,Experience & Meaning in Design
KV,Introduction to Astronomy
KV,Extraterrestrial Life
KV,Severe and Hazardous Weather
KM,The Legal Environment of Bus
KM,Mgmt and Organizational Beh
KM,Principles of Marketing
KM,IT for Networked Organizations
KM,Operations Management
KM,International Business
KM,Senior Research II
KY,Contemporary Health
KY,Disability in American Society
KV,Medical Terms-GRK & LAT Roots
KV,Mythology of Greece and Rome
KV,Public Comm in Everyday Life
KR,Intro to Contemporary Dance
KV,Microeconomic Principles
KV,Macroeconomic Principles
KV,Economic Statistics I
KV,Economic Statistics II
KV,Inter Microeconomic Theory
KV,Environmental Economics
KV,International Economics
KV,Intro to Applied Econometrics
KV,Environmental Writing
KV,Emergence of Life
KV,The Oceans
KV,Natural Disasters
KV,Social & Environmental Issues
KV,Cities of the World
KV,Intro to Global Studies
KV,Intro Gender & Women's Studies
KV,Sex & Gender in Popular Media
KL,Intro to Human Development
KL,Intro Gender & Women's Studies
LP,Undergraduate Open Seminar
KT,Crisis Communications
KL,Harnessing Your Interpersonal Intelligence
KL,Interpersonal Intelligence for Professional Success
KT,Sex & Gender in Popular Media
KR,Music Then and Now
KR,Popular Music Studies
KR,Introduction to World Music
KV,World Religions
KV,Politics of the National Parks
KV,Comp Politics in Dev Nations
KV,Intro Psych
KV,Intro to Social Psych
KV,Intro to Brain and Cognition
KV,Child Psych
KV,Perception & Sensory Processes
KV,Psychopathology and Problems in Living
KV,Industrial Org Psych
KV,Learning and Memory
KY,"Recreation, Sport, and Tourism in Modern Society"
KY,Politics of the National Parks
KY,Nature and American Culture
KV,Introduction to Sociology
KV,Sociology of Gender
KV,Intermediate Spanish
KV,Spanish in the Professions
KN,The Culture of Disability
KR,Introduction to Theatre Arts
KR,Professional Internship
KV,US Racial & Ethnic Politics
KL,Undergraduate Open Seminar
KL,Independent Study
KL,Special Topics
KL,Thesis Research
KM,Undergraduate Open Seminar
KM,Fundamentals of Accounting
KM,Accounting and Accountancy II
KM,Prof Internship in Accountancy
KM,Atg Measurement & Disclosure
KM,Decision Making for Atg
KM,Accounting Institutions and Regulation
KM,Accounting Control Systems
KM,Advanced Financial Reporting
KM,Senior Research
KM,Managerial Accounting
KM,Professional Responsibility and Ethics for Accountants
KM,Adv Prof Internship in ACCY
KM,Special Research Problems
KM,Thesis Research
KL,Introduction to Applied Microeconomics
KL,Off-Campus Internship
KL,On-Campus Internship
KL,Honors Research or Thesis
KL,Practicum
KL,Seminar
KL,International Internship
KL,Undergrad Research or Thesis
KL,International Experience
KL,ACES Study Abroad
KT,Advertising Research Methods
KT,Intro to Public Relations
KT,Advertising History
KT,Special Problems
KT,Media Entrepreneurship
KT,Innovation in Advertising
KT,Internship Seminar
KT,Special Topics in Advertising
KT,Professional Project
KT,Thesis Research
KP,Undergraduate Open Seminar
KP,Honors Project
KP,Independent Study
KP,Orbital Mechanics
KP,Finite Element Analysis
KP,Nonlinear Aeroelasticity
KP,Thesis Research
LD,Nat Sec Afrs/Prep Actv Duty I
KV,Intro to African American St
KV,Spec Topics Afro-Am Studies
KV,Undergraduate Open Seminar
KV,Introduction to Modern Africa
KV,Elementary Swahili I
KV,Elementary Swahili II
KV,Intermediate Swahili I
KV,Intermediate Swahili II
KV,Independent Study
KV,Special Topics
KV,Thesis Research
KL,Ag Leadership Internship
KL,Independent Study or Research
KL,Second Year Agriculture Teacher Seminar
KY,AHS Study Abroad
KY,Advanced Open Seminar
KL,World Animal Resources
KL,Companion Animals in Society
KL,UG Experiential Learning
KL,Applied Bioinformatics
KL,Res Studies in Animal Sciences
KV,Anthro in a Changing World
KV,Biology of Human Behavior
KV,The Archaeology of Death
KV,Forensic Science
KV,Individual Study
KV,Methods in Bioanthropology
KV,Research in Bioanthropology
KV,Archaeological Field School
KV,Lab Analysis in Archaeology
KV,Honors Senior Thesis II
KV,Individual Field Research
KV,Individual Field Data Analysis
KV,Readings in Anthropology
KV,Dissertation Readings
KV,Elementary Standard Arabic I
KV,Elementary Standard Arabic II
KV,Intermediate Stand Arabic I
KV,Intermediate Stand Arabic II
KV,Advanced Standard Arabic I
KV,Advanced Standard Arabic II
KV,Topics Stand Arabic Lang&Lit I
KV,Topics Stand Arabic LangLit II
KV,Readings in Advanced Arabic
KR,History of World Landscapes
KR,Senior Honors in Architecture
KR,Independent Study
KR,Arch Design & Development
KR,Arch Professional Internship
KR,Design: Behavior and Environment
KR,Directed Research
KR,Spec Prob Building Sci & Tech
KR,Spec Prob Arch Design
KR,Thesis Research
KR,Undergraduate Open Seminar
KR,Chado (The Way of Tea)
KR,Special Problems in Design
KR,Internship in Design
KR,Senior Honors
KR,Industrial Design Thesis
KR,Independent Graduate Studies
KR,Individual Art History Topics
KR,Senior Art-History Honors-BA
KR,Senior Art-History Honors-BFA
KR,Topics in Art History
KR,Individual Readings
KR,Internship in Studio Arts
KR,Graduate Studio
KR,Seminar: Methods Criticism
KR,Graduate Laboratory
KV,Methods of Applied Statistics
KV,Actuarial Research
KV,Individual Study and Research
KV,Climate and Global Change
KM,Leading Individuals and Teams
KM,Ethical Dilemmas of Business
KM,Database Design and Management
KM,Info Sys Analysis and Design
KM,Senior Research I
KM,Corporate & Commercial Law
KM,Strategic Management
KM,Technology Practicum
KM,Managing Intellectual Property
KM,Business Practice Immersion
KM,Seminar in Business Admin
KM,Proseminar in Business Admin
KM,Research in Special Fields
KM,Independent Study and Research
KM,Dissertation Research
KV,Individual Topics
KV,Senior Thesis
KP,Individual Study
