course,course_name,course_number,description,credit_hours
ACE 161,Microcomputer Applications,161,Instruction and practice in solving data-related problems with microcomputers and general purpose software packages.,3 hours.
ACE 240,Personal Financial Planning,240,"Examines principles of financial planning applied to individuals and households, with attention to organizing and analyzing financial information, budgeting, acquiring financial assets, managing credit, planning for taxes, investments, risk management, retirement, and estate planning. Prerequisite: Sophomore standing or consent of instructor.",3 hours.
ADV 150,Introduction to Advertising,150,"Introduction to the practice and profession of advertising. Course material covers various functional areas of advertising and integrated brand promotion, including account planning, creative, media, research, consumer behavior, sales promotion and interactive advertising. Topics also include how advertising relates to society in cultural, social, ethical and regulatory contexts. Open to all undergraduate majors.",3 hours.
ADV 490,Advanced Special Topics in Advertising,490,Covers current issues in various advertising areas not studied extensively in other courses. 1 to 3 undergraduate hours. 1 to 3 graduate hours. May be repeated in the same or separate terms to a maximum of 6 hours. Prerequisite: Announced separately for each topic.,1 TO 3 hours.
AFAS 120,Intro to US Armed Forces,120,"Surveys the four major branches of the United States military (Army, Navy, Marines, and Air Force) and their historical development into “Professions of Arms.” Topics include historical surveys of each branch highlighting key historical developments, organization, structure and customs. Other topics include a discussion of the United States National Command Authority. United States joint military operations and structure, the relationship of the United States Military with its civilian constituency and a survey of emerging Department of Defense issues. Same as MILS 120 and NS 120.",3 hours.
ANSC 110,Life With Animals and Biotech,110,"Lecture/discussion course that will provide students an overview of biotechnology and animals. Focuses on biotechnological achievements involving animals and how they influence the global development of agriculture, medicine, and industry. Topics will be covered from scientific, discovery, historical, social, and political perspectives. Credit is not given to Animal Science majors.",3 hours.
ART 100,Understanding Visual Culture,100,"Interdisciplinary methods in recognizing and understanding meaning of a wide range of visual messages in the arts, design, and culture, with emphasis on critical thinking and analysis. Topics include: visual perception, visual persuasion, the visual interpretation of time and space, humor. Contemporary art and design are explored through the use of semiotics and historical, cultural and ethical aesthetic and technical perspectives.",3 hours.
ART 140,Introduction to Art,140,"A creative and expressive exploration of multiple art media, including but not limited to drawing, painting and design elements. This course is an introduction to the art making process with weekly interactive lectures and hands on studio sections. Additional fees may apply. See Class Schedule. Not open to students in art and design and architecture.",3 hours.
ART 205,Experience & Meaning in Design,205,"Introduces students to the cultural impact of graphic design by connecting graphic design theory to the everyday experience of meaningful design. Graphic design will be studied as a mediating factor between culture and cognitive processing. The course utilizes a weekly pattern of assigned readings, online presentations, design assignments delivered online, and peer review. The reading and presentations will connect the students to major concepts. The assignments will allow students to demonstrate understanding of those concepts.",3 hours.
ASTR 100,Introduction to Astronomy,100,"Introduces the student to the basic concepts of modern astronomy. Covers topics including the night sky; the solar system and its origin; the nature and evolution of stars; stellar remnants, including white dwarfs, neutron stars, and black holes; extrasolar planetary systems; galaxies and quasars; dark matter and dark energy; the Big Bang and the fate of the universe; and life in the universe. Credit is not given for ASTR 100 if credit in any of ASTR 121, ASTR 122, ASTR 210, or equivalent has been earned. Students with credit in PHYS 211 are encouraged to take ASTR 210.",3 hours.
