subjectId,name
AAS,Asian American Studies
ABE,Agricultural and Biological Engineering
ACCY,Accountancy
ACE,Agricultural and Consumer Economics
ACES,"Agricultural, Consumer and Environmental Sciences"
ADV,Advertising
AE,Aerospace Engineering
AFAS,Air Force Aerospace Studies
AFRO,African American Studies
AFST,African Studies
AGCM,Agricultural Communications
AGED,Agricultural Education
AHS,Applied Health Sciences Courses
AIS,American Indian Studies
ALEC,"Agricultural Leadership, Education, and Communications Program"
ANSC,Animal Sciences
ANTH,Anthropology
ARAB,Arabic
ARCH,Architecture
ART,Art
ARTD,Art--Design
ARTE,Art--Education
ARTF,Art--Foundation
ARTH,Art--History
ARTS,Art--Studio
ASRM,Actuarial Science and Risk Management
ASST,Asian Studies
ASTR,Astronomy
ATMS,Atmospheric Sciences
BADM,Business Administration
BASQ,Basque
BCOG,Brain and Cognitive Science
BCS,Bosnian-Croatian-Serbian
BDI,Business Data and Innovation
BIOC,Biochemistry
BIOE,Bioengineering
BIOL,Biology
BIOP,Biophysics
BSE,Biomedical Sciences and Engineering
BTW,Business and Technical Writing
BUS,Business
CB,Comparative Biosciences
CDB,Cell and Developmental Biology
CEE,Civil and Environmental Engineering
CHBE,Chemical and Biomolecular Engineering
CHEM,Chemistry
CHIN,Chinese
CHLH,Community Health
CHP,Campus Honors Program Courses
CI,Curriculum and Instruction
CIC,Committee on Inst Cooperation
CLCV,Classical Civilization
CLE,Clinical Sciences and Engineering
CMN,Communication
CPSC,Crop Sciences
CS,Computer Science
CSE,Computational Science and Engineering
CW,Creative Writing
CWL,Comparative and World Literature
CZCH,Czech
DANC,Dance
EALC,East Asian Language and Culture
ECE,Electrical and Computer Engineering
ECON,Economics
EDPR,Educational Practice
EDUC,Education
EIL,English as an International Language
ENG,Engineering
ENGH,Engineering Honors
ENGL,English
ENSU,Environmental Sustainability
ENT,Entomology
ENVS,Environmental Studies
EOL,Educational Organization and Leadership
EPOL,"Education Policy, Organization and Leadership"
EPS,Educational Policy Studies
EPSY,Educational Psychology
ESE,"Earth, Society, and Environment"
ESL,English as a Second Language
EURO,European Union Studies
FAA,Fine and Applied Arts
FIN,Finance
FLTE,Foreign Language Teacher Education
FR,French
FSHN,Food Science and Human Nutrition
GC,Graduate College
GEOG,Geography
GEOL,Geology
GER,German
GLBL,Global Studies
GMC,Germanic
GRK,Greek
GRKM,Modern Greek
GS,General Studies
GWS,Gender and Women's Studies
HDFS,Human Development and Family Studies
HEBR,"Hebrew, Modern and Classical"
HIST,History
HNDI,Hindi
HORT,Horticulture
HRD,Human Resource Development
HT,Health Technology
HUM,Humanities Courses
IB,Integrative Biology
IE,Industrial Engineering
IHLT,Interdisciplinary Health Sciences
INFO,Informatics
IS,Information Sciences
ITAL,Italian
JAPN,Japanese
JOUR,Journalism
JS,Jewish Studies
KIN,Kinesiology
KOR,Korean
LA,Landscape Architecture
LAS,Liberal Arts and Sciences
LAST,Latin American and Caribbean Studies
LAT,Latin
LAW,Law
LCTL,Less Commonly Taught Languages
LEAD,Organizational and Community Leadership
LER,Labor and Employment Relations
LING,Linguistics
LLS,Latina/Latino Studies
MACS,Media and Cinema Studies
MATH,Mathematics
MBA,Regular MBA Program Administration
MCB,Molecular and Cell Biology
MDIA,Media
MDVL,Medieval Studies
ME,Mechanical Engineering
MFST,Metropolitan Food and Environmental Systems
MICR,Microbiology
MILS,Military Science
MIP,Molecular and Integrative Physiology
MSE,Materials Science and Engineering
MUS,Music
MUSC,Music Lessons and Ensembles
MUSE,Museum Studies
NEUR,Neuroscience
NPRE,"Nuclear, Plasma, and Radiological Engineering"
NRES,Natural Resources and Environmental Sciences
NS,Naval Science
NUTR,Nutritional Sciences
PATH,Pathobiology
PBIO,Plant Biology
PERS,Persian
PHIL,Philosophy
PHYS,Physics
PLPA,Plant Pathology
POL,Polish
PORT,Portuguese
PS,Political Science
PSM,Professional Science Master's Program
PSYC,Psychology
REES,"Russian, East European and Eurasian Studies"
REHB,Rehabilitation Counseling
REL,Religion
RHET,Rhetoric and Composition
RMLG,Romance Linguistics
RST,"Recreation, Sport, and Tourism"
RUSS,Russian
SAME,South Asian and Middle Eastern Studies
SBC,Strategic Brand Communication
SCAN,Scandinavian
SE,Systems Engineering and Design
SHS,Speech and Hearing Science
SLAV,Slavic
SLS,Second Language Studies
SOC,Sociology
SOCW,Social Work
SPAN,Spanish
SPED,Special Education
STAT,Statistics
SWAH,Swahili
TAM,Theoretical and Applied Mechanics
TE,Technology Entrepreneurship
THEA,Theatre
TMGT,Technology and Management Courses
TRST,Translation Studies
TSM,Technical Systems Management
TURK,Turkish
UKR,Ukrainian
UP,Urban and Regional Planning
VCM,Veterinary Clinical Medicine
VM,Veterinary Medicine Courses
WGGP,Women and Gender in Global Perspectives Program
WLOF,Wolof
WRIT,Writing Studies
YDSH,Yiddish
RSOC,Rural Sociology
CAS,Center for Advanced Study
GCL,Grand Challenge Learning
ZULU,Zulu
SLCL,"Literatures, Cultures, and Linguistics"
CATL,Catalan
IHLT,i-Health Program
GE,General Engineering
HRE,Human Resource Education
LIS,Library and Information Science
RLST,Religious Studies
HCD,Human and Community Development
HDES,Human Dimensions of Environmental Systems
SNSK,Sanskrit
AVI,Aviation
SCR,Serbo-Croatian
BULG,Bulgarian
BMNA,Bamana
CINE,Cinema Studies
MS,Media Studies
ESES,"ZZZ Earth Sys, Environ & Socie"
LGLA,Lingala
VB,Veterinary Biosciences
