courseId,crn,sectionId,typeId
AAS 100,30106,AL1,OLC
AAS 100,30107,AD1,OD
AAS 100,41729,AD2,OD
AAS 100,43832,AD3,OD
AAS 100,48232,AD4,OD
AAS 100,48234,AD5,OD
AAS 100,50105,AD6,OD
AAS 100,51886,AD8,OD
AAS 100,54572,AD7,OD
AAS 100,70761,AD9,OD
AAS 100,70762,ADA,OD
AAS 201,65823,OL3,ONL
AAS 201,66638,OL2,ONL
AAS 201,66639,OL1,ONL
AAS 201,73125,OL4,ONL
AAS 215,52317,A,ONL
AAS 246,66231,B,ONL
AAS 258,51119,A,ONL
AAS 281,54519,AL1,OLC
AAS 281,54523,AD1,OD
AAS 281,54527,AD2,OD
AAS 281,54531,AD3,OD
AAS 282,71691,MN,ONL
AAS 297,62166,A,OLC
AAS 299,48495,FN,ONL
AAS 310,33069,L,OLC
AAS 310,33071,D1,OD
AAS 310,45579,D2,OD
AAS 343,69447,A,ONL
AAS 365,46462,A,ONL
AAS 375,71557,A,ONL
AAS 400,71552,A,ONL
AAS 400,71553,U,ONL
AAS 479,51463,U,ONL
AAS 479,51464,G,ONL
ABE 141,54768,MGD,LEC
ABE 141,54768,MGD,ONL
ABE 199,68015,AMB,ONL
ABE 225,57089,AE1,OLC
ABE 225,57090,AB1,OLB
ABE 225,57091,AB2,OLB
ABE 226,57086,AE1,OLC
ABE 226,57087,AB1,OLB
ABE 226,57088,AB2,OLB
ABE 424,72954,GC,OLB
ABE 424,72954,GC,OLC
ABE 425,39995,AB1,OLB
ABE 425,39997,AE1,OLC
ABE 425,56252,AB2,OLB
ABE 440,31585,AB1,OLB
ABE 440,31587,AB2,OLB
ABE 440,31591,AL1,OLC
ABE 440,60974,AB3,OLB
ABE 446,73002,AM,OD
ABE 446,73002,AM,OLC
ABE 456,29875,G4,OLB
ABE 456,29875,G4,OLC
ABE 456,40185,U3,OLB
ABE 456,40185,U3,OLC
ABE 457,51989,RBH,ONL
ABE 458,62504,MCC,ONL
ABE 469,70549,APW,LCD
ABE 469,70549,APW,OD
ABE 469,73084,AW1,OD
ABE 469,73084,AW1,OLC
ABE 498,68117,DRP,LCD
ABE 498,68117,DRP,TRV
ABE 498,69694,XW3,LCD
ABE 498,72218,KAM,LAB
ABE 498,72218,KAM,LCD
ABE 594,45390,A,ONL
ACCY 199,69228,ALA,ONL
ACCY 199,70231,TAX,ONL
ACCY 199,70634,TMG,ONL
ACCY 200,30111,TM,OLC
ACCY 200,45418,OL,ONL
ACCY 201,30112,AD1,OD
ACCY 201,30113,AD2,OD
ACCY 201,30114,AD3,OD
ACCY 201,30115,AD4,OD
ACCY 201,30116,AD5,OD
ACCY 201,30117,AD6,OD
ACCY 201,30118,AL1,OLC
ACCY 201,45631,AD7,OD
ACCY 201,51202,AL3,OLC
ACCY 201,68539,AL2,OLC
ACCY 201,68828,AD8,OD
ACCY 201,68829,AD9,OD
ACCY 201,68830,ADA,OD
ACCY 201,68831,ADB,OD
ACCY 201,70222,ADC,OD
ACCY 202,30119,AL1,OLC
ACCY 202,30120,AL2,OLC
ACCY 202,30121,ADA,OD
ACCY 202,30123,ADC,OD
ACCY 202,30134,ADE,OD
ACCY 202,30138,ADF,OD
ACCY 202,30140,ADG,OD
ACCY 202,30143,ADH,OD
ACCY 202,30147,AD1,OD
ACCY 202,30151,ADJ,OD
ACCY 202,30159,ADL,OD
ACCY 202,30161,ADM,OD
ACCY 202,30168,ADO,OD
ACCY 202,30171,ADP,OD
ACCY 202,30176,ADQ,OD
ACCY 202,30179,ADR,OD
ACCY 202,30182,ADS,OD
ACCY 202,30186,ADT,OD
ACCY 202,69229,AL3,OLC
ACCY 290,47685,O,CNF
ACCY 301,30192,AE1,OLC
ACCY 301,30195,AE2,LCD
ACCY 301,30197,AE3,LCD
ACCY 301,30200,AE4,OLC
ACCY 301,30201,AE5,OLC
ACCY 301,30203,AE6,OLC
ACCY 302,30211,AE2,OLC
ACCY 302,30212,AE3,OLC
ACCY 302,30228,AE5,OLC
ACCY 302,30232,AE6,OLC
ACCY 302,30260,AY1,ONL
ACCY 302,60043,AE1,OLC
ACCY 303,30267,AE2,OLC
ACCY 303,30271,AE3,OLC
ACCY 303,30274,AE4,OLC
ACCY 303,30276,AE5,OLC
ACCY 303,30278,AE6,OLC
ACCY 303,46358,AE7,OLC
ACCY 304,30286,AE1,OLC
ACCY 304,30288,AE2,OLC
ACCY 304,30291,AE3,OLC
ACCY 304,30294,AE4,OLC
ACCY 304,30296,AE5,OLC
ACCY 304,30299,AE6,OLC
ACCY 312,30334,A,OLC
ACCY 312,30335,B,OLC
ACCY 312,30336,C,OLC
ACCY 312,39460,D,OLC
ACCY 312,48959,E,OLC
ACCY 312,56978,F,OLC
ACCY 312,63525,G,OLC
ACCY 321,58331,WA,ONL
ACCY 398,30412,A,ONL
ACCY 398,30415,Z,ONL
ACCY 398,63823,B,ONL
ACCY 398,63824,C,ONL
ACCY 398,63825,D,ONL
ACCY 405,30311,AE1,OLC
ACCY 405,30315,AE2,OLC
ACCY 405,30324,AE3,OLC
ACCY 405,30328,AY1,ONL
ACCY 405,30332,AE4,OLC
ACCY 405,52616,AE5,OLC
ACCY 405,60014,AE6,OLC
ACCY 405,71388,AE7,OLC
ACCY 410,60044,A3,OLC
ACCY 410,60045,B3,OLC
ACCY 410,61733,C3,OLC
ACCY 410,61734,D3,OLC
ACCY 410,61759,G3,OLC
ACCY 410,65522,A4,OLC
ACCY 410,65523,C4,OLC
ACCY 410,65524,D4,OLC
ACCY 410,65527,G4,OLC
ACCY 410,66490,B4,OLC
ACCY 451,61737,A3,OLC
ACCY 451,61738,A4,OLC
ACCY 451,61739,B3,LCD
ACCY 451,61740,B4,LCD
ACCY 451,61741,C3,OLC
ACCY 451,61742,C4,OLC
ACCY 451,65160,E3,LCD
ACCY 451,65161,E4,LCD
ACCY 500,67786,IMB,ONL
ACCY 500,67787,ONL,ONL
ACCY 501,68872,DA1,ONL
ACCY 501,68874,NA1,ONL
ACCY 501,72094,DB2,E1
ACCY 501,72514,NB2,E2
ACCY 502,67590,DA1,ONL
ACCY 502,67594,NA1,ONL
ACCY 502,67595,NB2,E2
ACCY 502,71523,MSA,OLC
ACCY 502,72516,DB2,E2
ACCY 503,44637,A,OLC
ACCY 503,67610,DA1,ONL
ACCY 503,67611,DB2,E1
ACCY 503,67612,NA1,ONL
ACCY 503,67613,NB1,E1
ACCY 503,69063,IMB,ONL
ACCY 503,69208,ONL,ONL
ACCY 506,66495,B,OLC
ACCY 507,67722,DA1,ONL
ACCY 507,67723,NA1,ONL
ACCY 507,67725,DB2,E2
ACCY 507,67728,NB2,E2
ACCY 510,46889,C,OLC
ACCY 510,46890,D,OLC
ACCY 512,30434,A,OLC
ACCY 512,30436,B,OLC
ACCY 512,30437,C,OLC
ACCY 515,46360,B,LCD
ACCY 515,48423,C,OLC
ACCY 516,71524,A,OLC
ACCY 517,30428,A,OLC
ACCY 517,30431,B,LCD
ACCY 517,58688,D,OLC
ACCY 517,61747,E,OLC
ACCY 518,64807,A,OLC
ACCY 518,64808,B,OLC
ACCY 518,64809,C,OLC
ACCY 518,71525,D,OLC
ACCY 550,70066,A,LCD
ACCY 550,73282,B,OLC
ACCY 551,63205,A,LCD
ACCY 551,73337,B,OLC
ACCY 552,30438,A,OLC
ACCY 552,30440,B,OLC
ACCY 554,65171,A,LCD
ACCY 554,65172,B,OLC
