subjectId,courseId
AAS,AAS 100
AAS,AAS 201
AAS,AAS 215
AAS,AAS 246
AAS,AAS 258
AAS,AAS 281
AAS,AAS 282
AAS,AAS 297
AAS,AAS 299
AAS,AAS 310
AAS,AAS 343
AAS,AAS 365
AAS,AAS 375
AAS,AAS 400
AAS,AAS 479
ABE,ABE 141
ABE,ABE 199
ABE,ABE 225
ABE,ABE 226
ABE,ABE 397
ABE,ABE 424
ABE,ABE 425
ABE,ABE 440
ABE,ABE 446
ABE,ABE 456
ABE,ABE 457
ABE,ABE 458
ABE,ABE 469
ABE,ABE 497
ABE,ABE 498
ABE,ABE 594
ABE,ABE 597
ABE,ABE 599
ACCY,ACCY 199
ACCY,ACCY 200
ACCY,ACCY 201
ACCY,ACCY 202
ACCY,ACCY 290
ACCY,ACCY 301
ACCY,ACCY 302
ACCY,ACCY 303
ACCY,ACCY 304
ACCY,ACCY 312
ACCY,ACCY 321
ACCY,ACCY 398
ACCY,ACCY 405
ACCY,ACCY 410
ACCY,ACCY 451
ACCY,ACCY 499
ACCY,ACCY 500
ACCY,ACCY 501
ACCY,ACCY 502
ACCY,ACCY 503
ACCY,ACCY 506
ACCY,ACCY 507
ACCY,ACCY 510
ACCY,ACCY 512
ACCY,ACCY 515
ACCY,ACCY 516
ACCY,ACCY 517
ACCY,ACCY 518
ACCY,ACCY 550
ACCY,ACCY 551
ACCY,ACCY 552
ACCY,ACCY 554
ACCY,ACCY 570
ACCY,ACCY 571
ACCY,ACCY 574
ACCY,ACCY 575
ACCY,ACCY 576
ACCY,ACCY 577
ACCY,ACCY 578
ACCY,ACCY 590
ACCY,ACCY 593
ACCY,ACCY 594
ACCY,ACCY 599
ACE,ACE 100
ACE,ACE 161
ACE,ACE 199
ACE,ACE 210
ACE,ACE 231
ACE,ACE 232
ACE,ACE 240
ACE,ACE 251
ACE,ACE 254
ACE,ACE 255
ACE,ACE 261
ACE,ACE 262
ACE,ACE 264
ACE,ACE 270
ACE,ACE 293
ACE,ACE 294
ACE,ACE 295
ACE,ACE 300
ACE,ACE 306
ACE,ACE 310
ACE,ACE 321
ACE,ACE 335
ACE,ACE 341
ACE,ACE 360
ACE,ACE 396
ACE,ACE 398
ACE,ACE 403
ACE,ACE 410
ACE,ACE 427
ACE,ACE 428
ACE,ACE 430
ACE,ACE 431
ACE,ACE 432
ACE,ACE 435
ACE,ACE 440
ACE,ACE 444
ACE,ACE 446
ACE,ACE 449
ACE,ACE 451
ACE,ACE 456
ACE,ACE 474
ACE,ACE 476
ACE,ACE 496
ACE,ACE 499
ACE,ACE 502
ACE,ACE 503
ACE,ACE 528
ACE,ACE 530
ACE,ACE 532
ACE,ACE 542
ACE,ACE 557
ACE,ACE 559
ACE,ACE 561
ACE,ACE 563
ACE,ACE 591
ACE,ACE 592
ACE,ACE 594
ACE,ACE 599
ACES,ACES 102
ACES,ACES 179
ACES,ACES 199
ACES,ACES 200
ACES,ACES 293
ACES,ACES 295
ACES,ACES 298
ACES,ACES 299
ACES,ACES 396
ACES,ACES 399
ACES,ACES 499
ADV,ADV 150
ADV,ADV 199
ADV,ADV 270
ADV,ADV 281
ADV,ADV 283
ADV,ADV 284
ADV,ADV 290
ADV,ADV 305
ADV,ADV 310
ADV,ADV 311
ADV,ADV 320
ADV,ADV 350
ADV,ADV 370
ADV,ADV 390
ADV,ADV 396
ADV,ADV 400
ADV,ADV 409
ADV,ADV 410
ADV,ADV 454
ADV,ADV 460
ADV,ADV 461
ADV,ADV 476
ADV,ADV 478
ADV,ADV 483
ADV,ADV 490
ADV,ADV 491
ADV,ADV 492
ADV,ADV 495
ADV,ADV 496
ADV,ADV 498
ADV,ADV 582
ADV,ADV 588
ADV,ADV 590
ADV,ADV 598
ADV,ADV 599
AE,AE 140
AE,AE 199
AE,AE 202
AE,AE 298
AE,AE 311
AE,AE 312
AE,AE 321
AE,AE 323
AE,AE 352
AE,AE 353
AE,AE 370
AE,AE 395
AE,AE 396
AE,AE 397
AE,AE 403
AE,AE 410
AE,AE 419
AE,AE 420
AE,AE 434
AE,AE 435
AE,AE 443
AE,AE 461
AE,AE 482
AE,AE 484
AE,AE 497
AE,AE 498
AE,AE 502
AE,AE 504
AE,AE 510
AE,AE 514
AE,AE 515
AE,AE 522
AE,AE 538
AE,AE 543
AE,AE 550
AE,AE 555
AE,AE 590
AE,AE 597
AE,AE 598
AE,AE 599
AFAS,AFAS 102
AFAS,AFAS 112
AFAS,AFAS 120
AFAS,AFAS 222
AFAS,AFAS 332
AFAS,AFAS 342
AFRO,AFRO 100
AFRO,AFRO 101
AFRO,AFRO 103
AFRO,AFRO 105
AFRO,AFRO 106
AFRO,AFRO 132
AFRO,AFRO 201
AFRO,AFRO 215
AFRO,AFRO 220
AFRO,AFRO 221
AFRO,AFRO 224
AFRO,AFRO 226
AFRO,AFRO 228
AFRO,AFRO 243
AFRO,AFRO 250
AFRO,AFRO 259
AFRO,AFRO 260
AFRO,AFRO 261
AFRO,AFRO 275
AFRO,AFRO 276
AFRO,AFRO 281
AFRO,AFRO 287
AFRO,AFRO 310
AFRO,AFRO 343
AFRO,AFRO 398
AFRO,AFRO 421
AFRO,AFRO 482
AFRO,AFRO 495
AFRO,AFRO 498
AFRO,AFRO 595
AFRO,AFRO 597
AFRO,AFRO 598
AFST,AFST 103
AFST,AFST 199
AFST,AFST 210
AFST,AFST 213
AFST,AFST 232
AFST,AFST 242
AFST,AFST 243
AFST,AFST 254
AFST,AFST 406
AFST,AFST 408
AFST,AFST 412
AFST,AFST 434
AFST,AFST 436
AFST,AFST 444
AFST,AFST 446
AFST,AFST 490
AFST,AFST 515
AFST,AFST 522
AFST,AFST 550
AFST,AFST 599
AGCM,AGCM 230
AGCM,AGCM 270
AGCM,AGCM 320
AGCM,AGCM 330
AGCM,AGCM 499
AGED,AGED 250
AGED,AGED 410
AGED,AGED 420
